score,magnitude,text
-0.6000000238418579,0.6000000238418579,Crime
0.0,0.0,- nero - uf dis atari - 3 sae ; afeeyeeinae as : a poeescanees =<
-0.30000001192092896,0.30000001192092896,"""!""""? he bent over her once"""
-0.10000000149011612,0.30000001192092896,"""""""""""Ah, he's eating, then he's not ill,"""" said Razumihin. He took a chair and sat down at the table opposite Raskolnikov."""
0.0,1.2999999523162842,"""""""..Â» But I should like to know why mother has written to me about â€˜our most rising generation'? Simply as a descriptive touch, or with the idea of prepossessing me in favour of Mr. Luzhin? Oh, the cunning of them! I should like to know one thing more: how far they were open with one another that day and night and all this time since? Was"""
0.0,0.699999988079071,"""""""A thing ... cigarette case. ... Silver. . . . Look at it."""""""
-0.20000000298023224,0.5,"""""""A-ah,"""" he signed towards her uneasily. He wanted to say something."""
-0.20000000298023224,0.8999999761581421,"""""""Ach, hang it!"""" Raskolnikov whispered with loathing and contempt, as though he did not want to speak aloud. /"""
-0.30000001192092896,0.30000001192092896,"""""""All that is not in the article, there's only a hint of it,"""" said Raskolnikov."""
-0.4000000059604645,1.2000000476837158,"""""""All that's nonsense,"""" he said hopefully, """"and there is noth- ing in it all to worry about! It's simply physical derange- ment. Just a glass of beer, a piece of dry bread-and in"""
-0.800000011920929,0.800000011920929,"""""""All this is very naive . . . excuse me, I should have said impudent on your part,"""" said Raskolnikov."""
-0.30000001192092896,0.30000001192092896,"""""""All?"""" he asked with a malignant grin."""
0.0,0.0,"""""""Anatomy ?"""""""
0.0,0.699999988079071,"""""""And have you made much money by your thinking?"""" she managed to articulate at last. -."""
0.0,0.699999988079071,"""""""And here ... I am again on the same errand,"""" Raskolni- kov continued, a little disconcerted and surprised at the old woman's mistrust. """"Perhaps she is always like that though, only I did not notice it the other time,"""" he thought with an uneasy feeling."""
-0.20000000298023224,1.2000000476837158,"""""""And Svidrigailov was a riddle . . . He worried him, that was true, but somehow not on the same point. He might still have a struggle to come with Svidrigailov. Svidrigailov, -too, might be a means of escape; but Porfiry was a different matter."""
-0.10000000149011612,0.10000000149011612,"""""""And what does God do for you?"""" he asked, probing her further."""
-0.30000001192092896,0.30000001192092896,"""""""And what if I run away?"""" asked Raskolnikov with a strange smile."""
0.0,0.0,"""""""And what if there are only spiders there, or something of that sort,"""" he said suddenly."""
0.10000000149011612,0.30000001192092896,"""""""And will get to know each other through and through?"""" added Raskolnikov."""
-0.4000000059604645,0.4000000059604645,"""""""And you dared to call me as witness?"""" he said, going up to Pyotr Petrovitch."""
-0.10000000149011612,0.20000000298023224,"""""""And your little surprise, aren't you going to show it to me?"""" Raskolnikov said, sarcastically."""
0.20000000298023224,0.6000000238418579,"""""""Are you such a good dissembler?"""" Raskolnikov asked carelessly."""
-0.5,0.5,"""""""Aren't you ashamed now, sister?"""" asked Raskolnikov."""
0.20000000298023224,0.4000000059604645,"""""""At last he sees through him!"""" thought Raskolnikov."""
-0.10000000149011612,0.6000000238418579,"""""""But has Katernia Ivanovna been able to manage with such small means? Does she even mean to have a funeral lunch?"""" . Raskolnikov asked, persistently keeping up the conversation."""
-0.10000000149011612,0.699999988079071,"""""""But is it possible?"""" he brought out faintly. Raskolnikov looked wrathfully at him. /"""
0.0,0.5,"""""""But perhaps they won't fit,"""" observed Nastasya. r"""
-0.30000001192092896,0.699999988079071,"""""""But perhaps you are telling lies?' Raskolnikov put in."""
-0.20000000298023224,0.5,"""""""But they all write like that, you know,' Razumihin observed, abruptly. """"Have you read it?"""" /"""
0.0,0.0,"""""""But what a braggart you are,"""" Raskolnikov said with some disgust."""
0.0,0.4000000059604645,"""""""But what are you driving at now?"""" Raskolnikov mut- tered at last, asking the question without thinking. ."""
0.0,0.8999999761581421,"""""""but what help can he be to me now? Suppose he gets me"""
-0.10000000149011612,0.699999988079071,"""""""But why do you worry about it?"""" Raskolnikov inter- posed suddenly. """"It's in accordance with your theory!"""""""
-0.4000000059604645,0.800000011920929,"""""""But you can't write, you can hardly hold the pen,"""" observed the head clerk, looking with curiosity at Raskolnikov. """"Are you ill?"""""""
-0.10000000149011612,0.10000000149011612,"""""""But, perhaps, there is no God at all,' Raskolnikov answered with a sort of malignance, laughed and looked at her."""
-0.30000001192092896,0.30000001192092896,"""""""By evil thoughts."""""""
0.4000000059604645,0.800000011920929,"""""""Can it be you can imagine nothing juster and more comforting than that?"""" Raskolnikov cried, with a feeling of anguish."""
-0.10000000149011612,0.20000000298023224,"""""""Come along,"""" Zossimov repeated insistently, and he went out. Razumihin thought a minute and ran to over- take him."""
-0.800000011920929,0.800000011920929,"""""""Come now... you are harsh,"""" muttered Nikodim"""
0.0,0.0,"""""""Did you see him?"""" asked Raskolnikov after a pause."""
0.10000000149011612,0.10000000149011612,"""""""Dmitri Prokofitch."""""""
-0.4000000059604645,0.4000000059604645,"""""""Do tell me, please, what you or he'-Zossimov nodded at Raskolnikov--""""can have in common with this Zametov?"""""""
-0.20000000298023224,1.2000000476837158,"""""""Do you go to the right, Sofya Semyonovna? How did you find me, by the way?"""" he added, as though he wanted to say something quite different. He wanted to look at her soft clear eyes, but this was not easy. :"""
-0.20000000298023224,0.20000000298023224,"""""""Do you know that I am being followed?"""" asked Raskolnikov, looking inquisitively at him."""
0.0,0.5,"""""""Do you understand now?"""" said Raskolnikov, his face twitching nervously. """"Go back, go to them,"""" he said sud- denly, and turning quickly, he went out of the house."""
0.0,0.0,"""""""Don't be too sure,"""" he answered, twisting his mouth into a smile,"""
-0.5,1.5,"""""""Don't believe it, then!"""" answered Raskolnikov, with a cold, careless smile. """"You were noticing nothing as usual, but I was weighing every word."""""""
-0.10000000149011612,0.30000001192092896,"""""""Dounia, good-bye,"""" called Raskolnikov, in the passage. """"Give me your hand."""""""
-0.5,0.5,"""""""Dounia,"""" Raskolnikov continued with an effort, """"I don't want that marriage, so at the first opportunity to-morrow you must refuse Luzhin, so that we may never hear his name again,"""""""
-0.20000000298023224,1.100000023841858,"""""""Enough, mother,"""" said Raskolnikov, deeply regretting that he had come. ri"""
0.20000000298023224,0.20000000298023224,"""""""Every one has his plans,"""" Raskolnikov answered gloomily and impatiently."""
0.0,0.10000000149011612,"""""""Examining them?"""" Raskolnikov asked aloud."""
-0.10000000149011612,0.6000000238418579,"""""""Excited? Not a bit of it,' said Razumihin, stung to the quick."""
-0.5,0.5,"""""""Excuse me...I thought I should find you,"""" he said, addressing Raskolnikov suddenly, """"that is, I didn't mean anything... of that sort... but I just thought."""
0.0,0.0,"""""""Fool,"""" Raskolnikov swore to himself."""
-0.4000000059604645,2.200000047683716,"""""""From her queerness. No, I'll tell you what. I could kill that damned old woman and make off with her money, I as- sure you, without the faintest conscience-prick,""""' the student added with warmth. The officer laughed again while Ras- kolnikov shuddered. How strange it was!"""
0.0,0.0,"""""""From his voice he must be quite young,' thought Ras- kolnikov."""
0.10000000149011612,0.10000000149011612,"""""""From Porfiry."""""""
0.0,0.0,"""""""Give it me,"""" said Raskolnikov."""
0.10000000149011612,0.20000000298023224,"""""""Give me something to drink . .. Nastasya."""""""
0.10000000149011612,0.30000001192092896,"""""""Go in alone!"""" said Raskolnikov suddenly. """"I will be back directly."""""""
-0.699999988079071,0.699999988079071,"""""""Guess,"""" he said, with the same distorted helpless smile."""
-0.10000000149011612,0.10000000149011612,"""""""Hand it over,' he said roughly."""
-0.30000001192092896,0.30000001192092896,"""""""Have you guessed?"""" he whispered at last."""
0.0,0.30000001192092896,"""""""He can scarcely stand upright. And you. . .""""--Nikodim Fomitch was beginning."""
0.0,0.10000000149011612,"""""""He can scrawl his name. Have you got the book?'"""
-0.10000000149011612,0.10000000149011612,"""""""He has just been to see me,"""" said Raskolnikov, breaking his silence for the first time."""
0.0,0.0,"""""""He is a madman,"""" thought Raskolnikov."""
0.30000001192092896,0.30000001192092896,"""""""He really has put it well, though,"""" Raskolnikov thought."""
-0.20000000298023224,0.20000000298023224,"""""""Here,"""" said Raskolnikov feeling in his pocket and find- ing twenty copecks, """"here, call a cab and tell him to drive"""
0.5,1.0,"""""""He's learnt it by heart to show off!"""" Raskolnikov pro< nounced suddenly."""
-0.20000000298023224,0.8999999761581421,"""""""Hit her in the face, in the eyes, in the eyes,"""" cried Mikolka. ."""
0.0,0.20000000298023224,"""""""Hm! ... that's all right,' muttered Raskolnikov. """"Do you know, I fancied ...1 keep thinking that it may have been an hallucination."""""""
-0.20000000298023224,1.100000023841858,"""""""H'm! But I don't know why you want to tell us such gossip, mother,"""" said Raskolnikov irritably, as it were in spite of himself."""
0.0,0.0,"""""""How aa"""
0.0,1.0,"""""""How can you? That cannot be!"""" <"""
-0.4000000059604645,0.4000000059604645,"""""""How do you know?"""" he whispered, hardly able to breathe."""
